,Name,Distance,Mass,Radius,,Name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
1,2MASS J00040288-6410358,192,19,1.63,1,2MASS J00040288-6410358,192,0.018137172,0.16750368999999998
2,2MASS J00242463-0158201,37.7,79,1.09,2,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
3,2MASS J00274197+0503417,236,31,1.44,3,2MASS J00274197+0503417,236,0.029592228,0.14797871999999998
4,2MASSW J0030300-145033,87.2,54,0.98,4,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
5,2MASS J00332386-1521309 [de],131,29,1.43,5,2MASS J00332386-1521309 [de],131,0.027683052,0.14695108999999998
6,2MASS J00345157+0523050,31,42,0.94,6,2MASS J00345157+0523050,31,0.040092696000000004,0.09659721999999998
7,2MASS 0036+1821,28.6,42,0.94,7,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
8,2MASSW J0045214+163445,57,23,1.62,8,2MASSW J0045214+163445,57,0.021955524,0.16647606
9,WISEP J004701.06+680352.1 [fr],40,12,1.3,9,WISEP J004701.06+680352.1 [fr],40,0.011455056,0.13359189999999999
10,2MASS J00501994-3322402 [de],34,40,0.94,10,2MASS J00501994-3322402 [de],34,0.03818352,0.09659721999999998
11,2MASS J00584253-0651239 [de],96,29,1.43,11,2MASS J00584253-0651239 [de],96,0.027683052,0.14695108999999998
12,2MASSI J0103320+193536,70,52,0.98,12,2MASSI J0103320+193536,70,0.049638576000000004,0.10070773999999999
13,SDSSp J010752.33+004156.1 [de],51,52,0.98,13,SDSSp J010752.33+004156.1 [de],51,0.049638576000000004,0.10070773999999999
14,2MASSI J0117474-340325 [de],163,20,1.62,14,2MASSI J0117474-340325 [de],163,0.01909176,0.16647606
15,2MASS J01415823-4633574 [de],130,20,1.61,15,2MASS J01415823-4633574 [de],130,0.01909176,0.16544843
16,SDSS J015141.69+124429.6,70,47,0.97,16,SDSS J015141.69+124429.6,70,0.044865636,0.09968010999999999
17,SDSS J020742.48+000056.2 [de],111,47,0.97,17,SDSS J020742.48+000056.2 [de],111,0.044865636,0.09968010999999999
18,2MASS J02103857-3015313,101,15,1.53,18,2MASS J02103857-3015313,101,0.014318820000000001,0.15722739
19,2MASS J02340093-6442068,155,20,1.62,19,2MASS J02340093-6442068,155,0.01909176,0.16647606
20,2MASS J02411151-0326587 [de],152,27,1.41,20,2MASS J02411151-0326587 [de],152,0.025773876,0.14489582999999998
21,2MASS J02431371−2453298,35,33,0.99,21,2MASS J02431371−2453298,35,0.031501404000000004,0.10173536999999999
22,LP 771-21,53,78,1.08,22,LP 771-21,53,0.074457864,0.11098404
23,Teegarden's star,12.578,80,1.27,23,Teegarden's star,12.578,0.07636704,0.13050900999999998
24,2MASS J02535980+3206373,184,65,1.9,24,2MASS J02535980+3206373,184,0.06204822,0.19524969999999997
25,WISE J0254+0223,24,65,1.9,25,WISE J0254+0223,24,0.06204822,0.19524969999999997
26,DEN 0255-4700,16.2,80,0.97,26,DEN 0255-4700,16.2,0.07636704,0.09968010999999999
27,2MASS J03185403-3421292 [de],45,49,0.97,27,2MASS J03185403-3421292 [de],45,0.046774812,0.09968010999999999
28,2MASS J03205965+1854233,47,88,1.15,28,2MASS J03205965+1854233,47,0.084003744,0.11817744999999999
29,2MASS J03231002-4631237,192,23,1.66,29,2MASS J03231002-4631237,192,0.021955524,0.17058658
30,SDSS J032553.17+042540.1,59,45,0.95,30,SDSS J032553.17+042540.1,59,0.04295646,0.09762484999999999
31,2MASS J03264225-2102057 [de],80,18,1.3,31,2MASS J03264225-2102057 [de],80,0.017182584,0.13359189999999999
32,2MASS J03284265+2302051 [de],98,54,0.98,32,2MASS J03284265+2302051 [de],98,0.051547752,0.10070773999999999
33,2MASS J03341218-4953322,27.0,73,1.04,33,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
34,LP 944-20,20.9,73,1.43,34,LP 944-20,20.9,0.069684924,0.14695108999999998
35,2MASP J0345432+254023,88,74,1.05,35,2MASP J0345432+254023,88,0.070639512,0.10790115
36,Teide 1,380,55,3.78,36,Teide 1,380,0.05250234,0.38844413999999994
37,2MASS J03510004-0052452,48,102,1.27,37,2MASS J03510004-0052452,48,0.09736797600000001,0.13050900999999998
38,2MASS J03552337+1133437,29.8,20,1.32,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
39,2MASS J04151954−0935066,18.6,30,0.95,39,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999
40,2MASS J04285096-2253227 [de],85,80,1.09,40,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167000000001
41,2MASS J04351612-1606574,34,100,1.26,41,2MASS J04351612-1606574,34,0.0954588,0.12948137999999998
42,2MASS J04362788-4114465,142,39,1.97,42,2MASS J04362788-4114465,142,0.037228932,0.20244310999999998
43,2MASS J04390101-2353083 [de],29.5,48,0.97,43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999
44,2MASS J04433764+0002040,82,22,1.78,44,2MASS J04433764+0002040,82,0.021000936,0.18291813999999998
45,2MASS J04455387-3048204 [de],42,64,1.00,45,2MASS J04455387-3048204 [de],42,0.061093632,0.102763
46,2MASS J04510093-3402150 [de],69,1.04,72,46,2MASS J04510093-3402150 [de],69,0.00099277152,7.398935999999999
47,2MASS J05002100+0330501 [de],44,64,1.00,47,2MASS J05002100+0330501 [de],44,0.061093632,0.102763
48,2MASS J05012406-0010452 [de],64,21,1.38,48,2MASS J05012406-0010452 [de],64,0.020046348000000002,0.14181293999999997
49,2MASS J05160945-0445499 [de],73,47,0.97,49,2MASS J05160945-0445499 [de],73,0.044865636,0.09968010999999999
50,2MASS J0523−1403,40,68,1.01,50,2MASS J0523−1403,40,0.064911984,0.10379063
51,SDSS J053951.99-005902.0,41.62,61,1.01,51,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
52,LSR 0602+3910 [de],34.6,28,1.41,52,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
53,2MASS J06085283-2753583,102,38,1.51,53,2MASS J06085283-2753583,102,0.036274344,0.15517213
54,2MASS J06244595-4521548 [de],39,56,0.99,54,2MASS J06244595-4521548 [de],39,0.053456928,0.10173536999999999
55,2MASS J06411840-4322329 [de],65,67,1.01,55,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063
56,DENIS-P J0652197-253450 [de],51,75,1.05,56,DENIS-P J0652197-253450 [de],51,0.07159410000000001,0.10790115
57,2MASS J07075327-4900503,60,72,1.03,57,2MASS J07075327-4900503,60,0.068730336,0.10584589
58,UGPS J072227.51-054031.2,13.4,26,0.98,58,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
59,2MASSI J0727182+171001 [de],29.6,41,0.94,59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
60,2MASS J07290002-3954043 [de],25.8,37,0.94,60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
61,SDSS J074201.41+205520.5 [de],49,43,0.94,61,SDSS J074201.41+205520.5 [de],49,0.041047284,0.09659721999999998
62,DENIS-P J0751164-253043 [de],55,71,1.03,62,DENIS-P J0751164-253043 [de],55,0.067775748,0.10584589
63,2MASS J07522390+1612157,60,2.01,68,63,2MASS J07522390+1612157,60,0.00191872188,6.987883999999999
64,DENIS J081730.0-615520,16.1,44,0.94,64,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
65,2MASS J08251968+2115521 [de],35,52,0.98,65,2MASS J08251968+2115521 [de],35,0.049638576000000004,0.10070773999999999
66,SDSSp J083008.12+482847.4 [de],43,48,0.99,66,SDSSp J083008.12+482847.4 [de],43,0.045820224,0.10173536999999999
67,LHS 2021,55,88,1.15,67,LHS 2021,55,0.084003744,0.11817744999999999
68,SDSS J083048.80+012831.1 [de],77,46,0.96,68,SDSS J083048.80+012831.1 [de],77,0.043911048,0.09865247999999999
69,2MASSI J0835425-081923 [de],23.53,62,1.00,69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
70,2MASSI J0847287-153237 [de],43,64,1.00,70,2MASSI J0847287-153237 [de],43,0.061093632,0.102763
71,2MASS J08533619-0329321,27.6,77,1.07,71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
72,2MASSI J0859254-194926 [de],50,50,0.98,72,2MASSI J0859254-194926 [de],50,0.0477294,0.10070773999999999
73,2MASSI J0937347+293142,20.0,42,0.94,73,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
74,2MASS 0939−2448,17.4,32,0.95,74,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
75,2MASS J09490860-1545485 [de],59,49,0.96,75,2MASS J09490860-1545485 [de],59,0.046774812,0.09865247999999999
76,2MASS J10073369-4555147,46,44,0.94,76,2MASS J10073369-4555147,46,0.042001872,0.09659721999999998
77,2MASSI J1010148-040649 [de],55,51,0.98,77,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.10070773999999999
78,2MASS J10224821+5825453 [de],60,27,1.41,78,2MASS J10224821+5825453 [de],60,0.025773876,0.14489582999999998
79,2MASSW J1036530-344138 [de],53,49,0.97,79,2MASSW J1036530-344138 [de],53,0.046774812,0.09968010999999999
80,2MASS J1047538+212423 [de],34.4,42,0.94,80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
81,DEN 1048-3956,13.15,77,1.07,81,DEN 1048-3956,13.15,0.073503276,0.10995641
82,Luhman 16B,6.516,43,1.02,82,Luhman 16B,6.516,0.041047284,0.10481826
83,Luhman 16A,6.516,40,1.01,83,Luhman 16A,6.516,0.03818352,0.10379063
84,DENIS-P J1058.7−1548,49,64,1.00,84,DENIS-P J1058.7−1548,49,0.061093632,0.102763
85,TWA 28,180,36,2.39,85,TWA 28,180,0.034365168,0.24560357
86,Cha 110913-773444,163,8,1.8,86,Cha 110913-773444,163,0.007636704,0.18497339999999998
87,SDSS J111010.01+011613.1,63,9,1.24,87,SDSS J111010.01+011613.1,63,0.008591292,0.12742612
88,2MASS J11145133−2618235,18.2,33,0.96,88,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
89,TWA 26,137,30,2.20,89,TWA 26,137,0.028637640000000002,0.2260786
90,2MASS J11544223-3400390 [de],129,37,1.50,90,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445
91,2MASSW J1155395-372735 [de],31,64,1.00,91,2MASSW J1155395-372735 [de],31,0.061093632,0.102763
92,2MASS J12074836-3900043,217,17,1.71,92,2MASS J12074836-3900043,217,0.016227996,0.17572473
93,2MASSI J1217110-031113 [de],36,42,0.94,93,2MASSI J1217110-031113 [de],36,0.040092696000000004,0.09659721999999998
94,2M 1237+6526,45.6,41,0.94,94,2M 1237+6526,45.6,0.039138108,0.09659721999999998
95,TWA 29,262,2.00,25,95,TWA 29,262,0.001909176,2.5690749999999998
96,SDSSp J125453.90-012247.4 [de],38,47,0.98,96,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070773999999999
97,Kelu-1A,61,63,0.98,97,Kelu-1A,61,0.060139044,0.10070773999999999
98,Kelu-1B,61,58,0.98,98,Kelu-1B,61,0.055366104,0.10070773999999999
99,2MASS J13204427+0409045,101,67,1.01,99,2MASS J13204427+0409045,101,0.063957396,0.10379063
100,SDSSp J132629.82-003831.5 [de],65,51,0.97,100,SDSSp J132629.82-003831.5 [de],65,0.048683988000000004,0.09968010999999999
101,SDSSp J134646.45-003150.4 [de],48,44,0.94,101,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
102,2MASS J13595510-4034582,51,63,1.00,102,2MASS J13595510-4034582,51,0.060139044,0.102763
103,ULAS J141623.94+134836.3,29.7,32,0.96,103,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
104,SDSS J141659.78+500626.4 [de],149,59,0.99,104,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173536999999999
105,DENIS-P J142527.97-365023.4 [de],38,21,1.32,105,DENIS-P J142527.97-365023.4 [de],38,0.020046348000000002,0.13564716
106,LHS 2924,38.5,76,1.06,106,LHS 2924,38.5,0.072548688,0.10892878
107,2MASS J14392837+1929150,47,72,1.03,107,2MASS J14392837+1929150,47,0.068730336,0.10584589
108,LSPM J1440+1339,72,92,1.19,108,LSPM J1440+1339,72,0.087822096,0.12228796999999998
109,2MASS J14482563+1031590 [de],47,59,0.99,109,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
110,CFBDSIR 1458+10A,104,11.1,1.5,110,CFBDSIR 1458+10A,104,0.0105959268,0.1541445
111,CFBDSIR 1458+10B,104,9,1.3,111,CFBDSIR 1458+10B,104,0.008591292,0.13359189999999999
112,TVLM 513-46546,35.1,75,1.05,112,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
113,2MASS 1503+2525,20.7,44,0.94,113,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998
114,CFBDS J150411+102717,71,44,0.94,114,CFBDS J150411+102717,71,0.042001872,0.09659721999999998
115,2MASSW J1506544+132106 [de],46,69,1.02,115,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826
116,2MASS 1507−1627,23.9,60,0.99,116,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999
117,TVLM 868-110639,53,79,1.08,117,TVLM 868-110639,53,0.075412452,0.11098404
118,2MASSW J1515008+484742 [de],34,57,0.99,118,2MASSW J1515008+484742 [de],34,0.054411516,0.10173536999999999
119,2MASSI J1526140+204341 [de],67,54,0.98,119,2MASSI J1526140+204341 [de],67,0.051547752,0.10070773999999999
120,DENIS-P J153941.96-052042.4 [de],51,63,1.00,120,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
121,2MASS J15462718-3325111 [de],37,44,0.94,121,2MASS J15462718-3325111 [de],37,0.042001872,0.09659721999999998
122,2MASSW J1552591+294849 [de],68,30,1.43,122,2MASSW J1552591+294849 [de],68,0.028637640000000002,0.14695108999999998
123,2MASSW J1555157-095605 [de],44,71,1.03,123,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589
124,2MASS J16150413+1340079 [de],48,42,0.94,124,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
125,SDSSp J162414.37+002915.6 [de],36,43,0.94,125,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659721999999998
126,2MASS J16262034+3925190 [de],110,71,1.03,126,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589
127,2MASSW J1632291+190441 [de],50,49,0.97,127,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
128,WISEPA J164715.59+563208.2,28,41,0.94,128,WISEPA J164715.59+563208.2,28,0.039138108,0.09659721999999998
129,LSPM J1658+7027 [de],60,73,1.04,129,LSPM J1658+7027 [de],60,0.069684924,0.10687352
130,2MASSI J1726000+153819,114,24,1.40,130,2MASSI J1726000+153819,114,0.022910112,0.14386819999999997
131,SDSSp J175032.96+175903.9,90,47,0.97,131,SDSSp J175032.96+175903.9,90,0.044865636,0.09968010999999999
132,2MASS J18283572-4849046,39,45,0.95,132,2MASS J18283572-4849046,39,0.04295646,0.09762484999999999
133,LSR J1835+3259,18.5,77,1.07,133,LSR J1835+3259,18.5,0.073503276,0.10995641
134,2MASSW J1841086+311727,138,67,1.01,134,2MASSW J1841086+311727,138,0.063957396,0.10379063
135,2MASS J18432213+4040209,46,96,1.22,135,2MASS J18432213+4040209,46,0.091640448,0.12537086
136,2MASS J20004841-7523070,105,25,1.88,136,2MASS J20004841-7523070,105,0.0238647,0.19319443999999997
137,SDSS J204749.61-071818.3,65,46,0.96,137,SDSS J204749.61-071818.3,65,0.043911048,0.09865247999999999
138,2MASSI J2057540-025230,47,70,1.02,138,2MASSI J2057540-025230,47,0.06682116,0.10481826
139,2MASSI J2104149-103736,62,69,1.02,139,2MASSI J2104149-103736,62,0.065866572,0.10481826
140,PSO J318.5−22,80,6.5,1.53,140,PSO J318.5−22,80,0.0062048220000000005,0.15722739
141,HB 2124-4228,113,94,1.21,141,HB 2124-4228,113,0.089731272,0.12434322999999999
142,2MASS J21392676+0220226,32.1,46,0.96,142,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999
143,2MASS J21481628+4003593,26.3,55,0.99,143,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
144,2MASSW J2206450-421721,93,22,1.33,144,2MASSW J2206450-421721,93,0.021000936,0.13667479
145,2MASSW J2208136+292121,154,27,1.41,145,2MASSW J2208136+292121,154,0.025773876,0.14489582999999998
146,2MASSW J2224438-015852,38,61,0.99,146,2MASSW J2224438-015852,38,0.058229868000000004,0.10173536999999999
147,2MASS J22282889-4310262,35,42,0.94,147,2MASS J22282889-4310262,35,0.040092696000000004,0.09659721999999998
148,2MASS J22373255+3922398,64,73,1.04,148,2MASS J22373255+3922398,64,0.069684924,0.10687352
149,2MASSW J2244316+204343,56,12,1.29,149,2MASSW J2244316+204343,56,0.011455056,0.13256426999999998
150,2MASS J23224684-3133231,56,24,1.39,150,2MASS J23224684-3133231,56,0.022910112,0.14284056999999997
151,2MASS J23225299-6151275,148,17,1.59,151,2MASS J23225299-6151275,148,0.016227996,0.16339317
152,2MASS J23515044-2537367,67,88,1.16,152,2MASS J23515044-2537367,67,0.084003744,0.11920507999999998
153,2MASSI J2356547-155310,74,80,1.09,153,2MASSI J2356547-155310,74,0.07636704,0.11201167000000001
154,WISE 0410+1502,20,6,1.17,154,WISE 0410+1502,20,0.005727528,0.12023270999999998
155,WISE 0458+6434A,35.9,15,4.2,155,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
156,WISE 0458+6434B,35.9,10,3.8,156,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
157,WISE 1405+5534,25.3,30,0.86,157,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
